code,name,energy_kcal,protein_g,fat_g,carb_g,bdd_pct,state,group,cuisine,portion_g_cooked,note
wt-croissant-almond,Croissant Almond,426,8.5,24.0,44.0,100,Olahan,Kue/Dessert,western,90,Almond croissant · per 100g · conf:med · Estimasi
wt-cinnamon-roll,Cinnamon Roll,358,6.0,14.0,52.0,100,Olahan,Kue/Dessert,western,110,Iced cinnamon roll · per 100g · conf:med · Estimasi
wt-brownies,Brownies,410,5.5,20.0,52.0,100,Olahan,Kue/Dessert,western,60,Fudge brownie · per 100g · conf:med · Estimasi
wt-cheesecake,Cheesecake,326,6.0,22.0,26.0,100,Olahan,Kue/Dessert,western,100,Baked cheesecake slice · per 100g · conf:med · Estimasi
wt-tiramisu,Tiramisu,277,5.0,17.0,26.0,100,Olahan,Kue/Dessert,western,120,Coffee mascarpone dessert · per 100g · conf:med · Estimasi
wt-chocolate-chip-cookie,Chocolate Chip Cookie,470,5.5,24.0,58.0,100,Olahan,Kue/Dessert,western,40,Soft baked cookie · per 100g · conf:med · Estimasi
wt-mashed-potato,Mashed Potato,115,2.5,5.0,15.0,100,Olahan,Umbi,western,150,Creamy mashed potato · per 100g · conf:med · Estimasi
wt-mushroom-soup,Cream of Mushroom Soup,87,2.5,5.0,8.0,100,Olahan,Sayur,western,250,Creamy mushroom soup · per 100g · conf:med · Estimasi
wt-garlic-bread,Garlic Bread,338,8.0,14.0,45.0,100,Olahan,Serealia,western,60,Buttered garlic bread · per 100g · conf:med · Estimasi
sn-pisang-goreng,Pisang Goreng,270,2.5,12.0,38.0,100,Olahan,Kue/Dessert,indonesian,60,Fried banana fritter · per 100g · conf:med · Estimasi
sn-tahu-isi,Tahu Isi,216,7.0,12.0,20.0,100,Olahan,Masakan Nusantara,indonesian,60,Stuffed fried tofu · per 100g · conf:med · Estimasi
sn-cireng,Cireng,284,2.0,12.0,42.0,100,Olahan,Kue/Dessert,indonesian,50,Fried tapioca snack · per 100g · conf:med · Estimasi
sn-cilok,Cilok,234,3.0,6.0,42.0,100,Olahan,Kue/Dessert,indonesian,80,Tapioca balls with peanut sauce · per 100g · conf:med · Estimasi
sn-klepon,Klepon,215,1.5,4.5,42.0,100,Olahan,Kue/Dessert,indonesian,60,Palm sugar rice balls · per 100g · conf:med · Estimasi
sn-dadar-gulung,Dadar Gulung,227,3.0,7.0,38.0,100,Olahan,Kue/Dessert,indonesian,60,Pandan crepe with coconut · per 100g · conf:med · Estimasi
sn-lemper,Lemper,198,4.5,4.0,36.0,100,Olahan,Kue/Dessert,indonesian,70,Sticky rice with chicken floss · per 100g · conf:med · Estimasi
sn-nagasari,Nagasari,173,1.5,2.5,36.0,100,Olahan,Kue/Dessert,indonesian,60,Banana rice flour cake · per 100g · conf:med · Estimasi
sn-onde-onde,Onde-onde,293,4.5,11.0,44.0,100,Olahan,Kue/Dessert,indonesian,50,Sesame ball with mung bean · per 100g · conf:med · Estimasi
sn-kue-cubit,Kue Cubit,281,5.0,9.0,45.0,100,Olahan,Kue/Dessert,indonesian,40,Mini pancake snack · per 100g · conf:med · Estimasi
sn-martabak-manis,Martabak Manis Cokelat,373,7.0,17.0,48.0,100,Olahan,Kue/Dessert,indonesian,100,"Sweet thick pancake, chocolate · per 100g · conf:med · Estimasi"
sn-roti-bakar-cokelat,Roti Bakar Cokelat Keju,332,7.5,14.0,44.0,100,Olahan,Kue/Dessert,indonesian,120,Toast with chocolate and cheese · per 100g · conf:med · Estimasi
sn-donat-gula,Donat Gula,358,5.5,16.0,48.0,100,Olahan,Kue/Dessert,western,60,Sugar-coated donut · per 100g · conf:med · Estimasi
sn-keripik-singkong,Keripik Singkong,474,2.0,26.0,58.0,100,Olahan,Umbi,indonesian,30,Cassava chips · per 100g · conf:med · Estimasi
sn-kacang-goreng,Kacang Goreng,568,25.0,44.0,18.0,100,Olahan,Kacang,indonesian,30,Fried peanuts · per 100g · conf:med · Estimasi
sn-popcorn-caramel,Popcorn Caramel,412,4.0,12.0,72.0,100,Olahan,Serealia,western,50,Caramel popcorn · per 100g · conf:med · Estimasi
sn-es-campur,Es Campur,137,1.5,3.0,26.0,100,Olahan,Kue/Dessert,indonesian,300,Mixed shaved ice dessert · per 100g · conf:med · Estimasi
sn-es-cendol,Es Cendol,163,1.5,5.0,28.0,100,Olahan,Kue/Dessert,indonesian,300,Cendol with coconut milk · per 100g · conf:med · Estimasi
sn-kolak-pisang,Kolak Pisang,151,1.5,4.5,26.0,100,Olahan,Kue/Dessert,indonesian,250,Banana in palm sugar coconut · per 100g · conf:med · Estimasi
sn-bubur-kacang-hijau,Bubur Kacang Hijau,142,4.5,4.0,22.0,100,Olahan,Kacang,indonesian,250,Mung bean porridge · per 100g · conf:med · Estimasi
