code,name,water_g,energy_kcal,protein_g,fat_g,carb_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,thiamin_mg,riboflavin_mg,niacin_mg,vitc_mg,bdd_pct,state,group,portion_g_cooked,note
cn-cumi-goreng-tepung,Cumi Goreng Tepung,,235,11.0,12.0,20.0,0.6,,25,160,0.8,540,150,,1.2,,,,,,,0,100,Olahan,Masakan Nusantara,180,"Fried Calamari · 1 porsi · conf:high · per100: gula 1.0g, lemak jenuh 2.0g, kolesterol 180mg, Mg 30mg"
cn-hakau,Hakau Udang (dimsum),,165,8.0,5.0,22.0,0.6,,25,90,0.6,420,90,,0.7,,,,,,,0,100,Olahan,Masakan Nusantara,90,"Har Gow Shrimp Dumpling · 4 pcs · conf:high · per100: gula 1.0g, lemak jenuh 1.2g, kolesterol 45mg, Mg 18mg"
cn-siomay-dimsum,Siomay Dimsum (babi-udang),,180,10.0,9.0,15.0,0.6,,25,105,0.9,480,120,,1.1,,,,,,,0,100,Olahan,Masakan Nusantara,90,"Siu Mai · 4 pcs · conf:high · per100: gula 1.5g, lemak jenuh 3.0g, kolesterol 50mg, Mg 16mg"
cn-xiaolongbao,Xiao Long Bao,,190,9.0,9.0,18.0,0.7,,20,95,1.0,430,110,,0.9,,,,,,,0,100,Olahan,Masakan Nusantara,100,"Soup Dumplings · 4 pcs · conf:high · per100: gula 1.5g, lemak jenuh 3.2g, kolesterol 35mg, Mg 14mg"
cn-lumpia-goreng,Lumpia Goreng,,250,7.0,13.0,26.0,1.6,,30,80,1.2,460,140,,0.7,,,,,,,6,100,Olahan,Masakan Nusantara,100,"Fried Spring Rolls · 2 pcs · conf:high · per100: gula 2.5g, lemak jenuh 3.0g, kolesterol 20mg, Mg 18mg"
cn-ceker-angsio,Ceker Angsio (dimsum),,215,17.0,14.0,4.0,0,,88,85,0.9,620,80,,0.7,,,,,,,0,100,Olahan,Masakan Nusantara,120,"Braised Chicken Feet · 1 porsi · conf:high · per100: gula 2.0g, lemak jenuh 4.0g, kolesterol 84mg, Mg 7mg"
cn-lapchiong,Lapchiong / Sosis Babi Manis,,400,17.0,30.0,12.0,0,,10,140,1.3,950,220,,2.2,,,,,,,0,100,Olahan,Masakan Nusantara,50,"Chinese Sweet Sausage · 1 batang · conf:high · per100: gula 10.0g, lemak jenuh 11.0g, kolesterol 72mg, Mg 16mg"
cn-ngohiong,Ngohiong Babi,,275,13.0,18.0,14.0,0.8,,20,120,1.2,560,180,,1.6,,,,,,,1,100,Olahan,Masakan Nusantara,120,"Five-Spice Pork Roll · 1 porsi (2 potong) · conf:med · per100: gula 2.0g, lemak jenuh 6.0g, kolesterol 55mg, Mg 16mg"
cn-nasi-campur-babi,Nasi Campur Babi (charsiu+siobak+lapchiong),,210,12.0,11.0,17.0,0.4,,14,130,0.9,550,190,,1.8,,,,,,,1,100,Olahan,Masakan Nusantara,450,"Chinese Mixed Pork Rice · 1 porsi lengkap · conf:med · Rata-rata piring: nasi + charsiu + siobak + lapchiong + sayur asin. Per porsi ~945 kkal. · per100: gula 4.0g, lemak jenuh 4.0g, kolesterol 55mg, Mg 16mg"
pd-rendang,Rendang Sapi,,235,19.0,16.0,4.0,0.8,,25,175,2.6,480,300,,4.5,,,,,,,1,100,Olahan,Masakan Nusantara,100,"Beef Rendang · 1 potong besar · conf:high · per100: gula 1.5g, lemak jenuh 9.0g, kolesterol 70mg, Mg 28mg"
pd-ayam-pop,Ayam Pop,,175,24.0,8.0,1.5,0,,12,190,0.9,420,240,,1.4,,,,,,,1,100,Olahan,Masakan Nusantara,120,"Ayam Pop (poached-fried) · 1 potong · conf:med · per100: gula 0.3g, lemak jenuh 2.5g, kolesterol 72mg, Mg 24mg"
pd-gulai-ayam,Gulai Ayam,,165,14.0,11.0,3.0,0.5,,20,140,1.1,450,210,,1.2,,,,,,,2,100,Olahan,Masakan Nusantara,150,"Chicken Curry (Padang) · 1 potong + kuah · conf:high · per100: gula 1.0g, lemak jenuh 6.0g, kolesterol 55mg, Mg 22mg"
pd-ayam-bakar-padang,Ayam Bakar Padang,,195,22.0,11.0,2.0,0.3,,14,180,1.0,470,230,,1.4,,,,,,,1,100,Olahan,Masakan Nusantara,120,"Grilled Chicken (Padang) · 1 potong · conf:med · per100: gula 1.0g, lemak jenuh 3.5g, kolesterol 70mg, Mg 23mg"
pd-ayam-goreng-padang,Ayam Goreng Padang (bumbu kuning),,260,24.0,17.0,3.0,0.4,,15,185,1.1,450,230,,1.5,,,,,,,1,100,Olahan,Masakan Nusantara,120,"Padang Fried Chicken · 1 potong · conf:med · per100: gula 0.5g, lemak jenuh 5.0g, kolesterol 80mg, Mg 23mg"
pd-dendeng-balado,Dendeng Balado,,320,30.0,20.0,4.0,0.8,,20,210,3.5,620,380,,5.5,,,,,,,10,100,Olahan,Masakan Nusantara,80,"Crispy Beef w/ Chili · 1 porsi · conf:med · per100: gula 2.0g, lemak jenuh 7.0g, kolesterol 85mg, Mg 26mg"
pd-gulai-tunjang,Gulai Tunjang (kikil),,230,18.0,17.0,2.0,0.3,,30,90,1.2,480,150,,1.5,,,,,,,1,100,Olahan,Masakan Nusantara,120,"Beef Tendon Curry · 1 porsi · conf:med · per100: gula 0.8g, lemak jenuh 9.0g, kolesterol 95mg, Mg 14mg"
pd-telur-dadar-padang,Telur Dadar Padang,,220,11.0,17.0,5.0,0.5,,55,150,1.8,520,140,,1.0,,,,,,,2,100,Olahan,Masakan Nusantara,90,"Padang Omelette · 1 potong tebal · conf:med · per100: gula 1.0g, lemak jenuh 5.0g, kolesterol 250mg, Mg 14mg"
pd-perkedel,Perkedel Kentang,,185,4.5,10.0,20.0,1.6,,15,70,0.9,320,340,,0.5,,,,,,,8,100,Olahan,Masakan Nusantara,50,"Potato Fritter · 1 pc · conf:high · per100: gula 1.5g, lemak jenuh 2.5g, kolesterol 30mg, Mg 22mg"
pd-gulai-nangka,Gulai Nangka,,75,2.0,4.5,8.0,2.5,,35,40,0.8,350,180,,0.4,,,,,,,5,100,Olahan,Masakan Nusantara,100,"Young Jackfruit Curry · 1 porsi sayur · conf:high · per100: gula 2.5g, lemak jenuh 3.4g, kolesterol 0mg, Mg 20mg"
pd-gulai-daun-singkong,Gulai Daun Singkong,,90,4.0,6.0,6.0,3.0,,150,58,2.2,340,320,,0.5,,,,,,,22,100,Olahan,Masakan Nusantara,100,"Cassava Leaf Curry · 1 porsi sayur · conf:high · per100: gula 1.2g, lemak jenuh 4.5g, kolesterol 0mg, Mg 42mg"
pd-sambal-ijo,Sambal Ijo,,120,2.0,9.0,8.0,2.5,,18,42,1.0,480,290,,0.3,,,,,,,25,100,Olahan,Masakan Nusantara,30,"Green Chili Sambal · 1 sendok · conf:med · per100: gula 3.0g, lemak jenuh 1.5g, kolesterol 0mg, Mg 16mg"
pd-gulai-ikan,Gulai Ikan Kakap,,130,15.0,6.5,3.0,0.4,,30,160,0.9,430,260,,0.6,,,,,,,2,100,Olahan,Masakan Nusantara,150,"Fish Curry (Padang) · 1 potong + kuah · conf:high · per100: gula 1.0g, lemak jenuh 4.0g, kolesterol 42mg, Mg 28mg"
pd-paru-goreng,Paru Goreng,,335,28.0,22.0,5.0,0,,12,200,5.5,520,230,,2.5,,,,,,,20,100,Olahan,Masakan Nusantara,70,"Fried Beef Lung · 1 porsi · conf:med · Fe & B12 tinggi (organ). Kolesterol juga tinggi. · per100: gula 0.5g, lemak jenuh 8.0g, kolesterol 250mg, Mg 15mg"
jw-nasi-goreng,Nasi Goreng Ayam + Telur,,185,6.5,7.0,24.0,0.8,,22,90,1.0,560,120,,0.8,,,,,,,3,100,Olahan,Masakan Nusantara,350,"Chicken Fried Rice · 1 piring · conf:high · per100: gula 1.5g, lemak jenuh 1.8g, kolesterol 45mg, Mg 15mg"
jw-mie-goreng,Mie Goreng,,190,5.5,8.0,25.0,1.2,,18,75,1.1,620,110,,0.6,,,,,,,3,100,Olahan,Masakan Nusantara,300,"Fried Noodles · 1 piring · conf:high · per100: gula 2.5g, lemak jenuh 2.4g, kolesterol 25mg, Mg 14mg"
jw-ayam-goreng,"Ayam Goreng (paha, kulit)",,270,25.0,18.0,2.0,0,,15,185,1.2,420,230,,1.9,,,,,,,0,100,Olahan,Masakan Nusantara,100,"Fried Chicken Thigh · 1 potong · conf:high · per100: gula 0g, lemak jenuh 5.0g, kolesterol 90mg, Mg 23mg"
jw-ayam-bakar-kecap,Ayam Bakar Kecap,,210,22.0,11.0,6.0,0.2,,14,180,1.0,520,240,,1.5,,,,,,,1,100,Olahan,Masakan Nusantara,120,"Sweet Soy Grilled Chicken · 1 potong · conf:med · per100: gula 5.0g, lemak jenuh 3.0g, kolesterol 72mg, Mg 22mg"
jw-ayam-penyet,Ayam Penyet + Sambal,,250,23.0,16.0,4.0,0.8,,18,190,1.3,550,250,,1.8,,,,,,,8,100,Olahan,Masakan Nusantara,150,"Smashed Fried Chicken · 1 porsi · conf:med · per100: gula 1.5g, lemak jenuh 4.5g, kolesterol 85mg, Mg 24mg"
jw-ayam-geprek,Ayam Geprek,,265,22.0,17.0,8.0,0.8,,18,185,1.3,560,240,,1.6,,,,,,,10,100,Olahan,Masakan Nusantara,150,"Geprek Chicken · 1 porsi · conf:med · per100: gula 1.5g, lemak jenuh 4.8g, kolesterol 82mg, Mg 22mg"
jw-lele-goreng,Lele Goreng,,215,18.0,15.0,1.0,0,,20,210,0.8,380,300,,0.8,,,,,,,0,100,Olahan,Masakan Nusantara,100,"Fried Catfish · 1 ekor · conf:high · per100: gula 0g, lemak jenuh 3.5g, kolesterol 70mg, Mg 25mg"
jw-tempe-goreng,Tempe Goreng,,260,17.0,17.0,12.0,3.0,,110,250,2.7,250,370,,1.5,,,,,,,0,100,Olahan,Masakan Nusantara,50,"Fried Tempeh · 2 potong · conf:high · per100: gula 0.5g, lemak jenuh 3.5g, kolesterol 0mg, Mg 75mg"
jw-tahu-goreng,Tahu Goreng,,190,10.0,14.0,7.0,1.5,,180,120,2.5,240,120,,1.0,,,,,,,0,100,Olahan,Masakan Nusantara,60,"Fried Tofu · 2 potong · conf:high · per100: gula 0.5g, lemak jenuh 2.0g, kolesterol 0mg, Mg 35mg"
jw-telur-balado,Telur Balado,,195,10.0,14.0,7.0,0.8,,50,140,1.8,520,160,,0.9,,,,,,,8,100,Olahan,Masakan Nusantara,70,"Egg in Chili Sambal · 1 butir + sambal · conf:med · per100: gula 4.0g, lemak jenuh 3.5g, kolesterol 340mg, Mg 13mg"
jw-orek-tempe,Orek Tempe (kering manis),,265,14.0,14.0,22.0,3.0,,95,210,2.4,480,320,,1.3,,,,,,,0,100,Olahan,Masakan Nusantara,50,"Sweet Tempeh Floss · 1 porsi · conf:med · per100: gula 10.0g, lemak jenuh 3.0g, kolesterol 0mg, Mg 65mg"
jw-sayur-asem,Sayur Asem,,40,1.8,0.8,7.0,1.8,,30,35,0.7,330,180,,0.3,,,,,,,10,100,Olahan,Masakan Nusantara,200,"Tamarind Vegetable Soup · 1 mangkok · conf:high · per100: gula 2.5g, lemak jenuh 0.2g, kolesterol 0mg, Mg 16mg"
jw-sayur-lodeh,Sayur Lodeh,,70,2.5,4.5,6.0,2.0,,40,45,0.9,340,200,,0.4,,,,,,,8,100,Olahan,Masakan Nusantara,200,"Coconut Vegetable Stew · 1 mangkok · conf:high · per100: gula 2.0g, lemak jenuh 3.2g, kolesterol 0mg, Mg 20mg"
jw-semur-ayam,Semur Ayam,,175,15.0,9.0,8.0,0.3,,16,155,1.1,560,220,,1.3,,,,,,,1,100,Olahan,Masakan Nusantara,150,"Chicken in Sweet Soy Stew · 1 potong + kuah · conf:med · per100: gula 6.0g, lemak jenuh 2.6g, kolesterol 60mg, Mg 20mg"
jw-opor-ayam,Opor Ayam,,195,16.0,13.0,4.0,0.5,,20,160,1.2,440,220,,1.3,,,,,,,1,100,Olahan,Masakan Nusantara,150,"Chicken in Coconut Gravy · 1 potong + kuah · conf:high · per100: gula 1.5g, lemak jenuh 7.0g, kolesterol 62mg, Mg 24mg"
jw-gudeg,Gudeg (nangka),,135,3.5,5.0,20.0,3.0,,45,50,1.2,380,220,,0.4,,,,,,,4,100,Olahan,Masakan Nusantara,150,"Gudeg Jackfruit Stew · 1 porsi · conf:high · per100: gula 9.0g, lemak jenuh 3.5g, kolesterol 5mg, Mg 24mg"
jw-telur-dadar,Telur Dadar,,200,11.0,16.0,2.0,0,,55,160,1.9,420,130,,1.0,,,,,,,0,100,Olahan,Masakan Nusantara,60,"Fried Omelette · 1 butir · conf:high · per100: gula 1.0g, lemak jenuh 4.5g, kolesterol 350mg, Mg 12mg"
jw-nasi-uduk,Nasi Uduk,,165,3.0,4.5,28.0,0.5,,10,45,0.3,260,45,,0.5,,,,,,,0,100,Olahan,Masakan Nusantara,200,"Coconut Rice · 1 porsi · conf:high · per100: gula 0.3g, lemak jenuh 3.0g, kolesterol 0mg, Mg 12mg"
jw-nasi-kuning,Nasi Kuning,,160,3.0,4.0,28.0,0.5,,10,45,0.4,280,45,,0.5,,,,,,,0,100,Olahan,Masakan Nusantara,200,"Turmeric Rice · 1 porsi · conf:high · per100: gula 0.3g, lemak jenuh 2.8g, kolesterol 0mg, Mg 12mg"
st-soto-ayam,Soto Ayam Bening (tanpa nasi),,55,4.5,2.2,4.0,0.4,,14,65,0.5,420,110,,0.5,,,,,,,3,100,Olahan,Masakan Nusantara,400,"Clear Chicken Soto · 1 mangkok · conf:high · per100: gula 0.8g, lemak jenuh 0.6g, kolesterol 18mg, Mg 9mg"
st-soto-betawi,Soto Betawi (santan/susu),,135,7.0,10.0,4.0,0.3,,40,95,1.2,460,160,,1.6,,,,,,,2,100,Olahan,Masakan Nusantara,400,"Betawi Beef Soto · 1 mangkok · conf:high · per100: gula 1.5g, lemak jenuh 6.0g, kolesterol 30mg, Mg 14mg"
st-coto-makassar,Coto Makassar,,120,9.0,8.0,3.0,0.4,,20,110,2.5,520,170,,2.2,,,,,,,1,100,Olahan,Masakan Nusantara,400,"Makassar Beef & Offal Soup · 1 mangkok · conf:med · per100: gula 0.8g, lemak jenuh 3.5g, kolesterol 90mg, Mg 14mg"
st-rawon,Rawon,,95,8.0,5.5,3.5,0.6,,18,105,2.0,480,190,,2.0,,,,,,,2,100,Olahan,Masakan Nusantara,400,"Black Keluak Beef Soup · 1 mangkok · conf:high · per100: gula 1.0g, lemak jenuh 2.2g, kolesterol 28mg, Mg 18mg"
st-bakso,Bakso Kuah Komplit (+ mie/bihun),,90,5.5,3.5,9.0,0.5,,20,70,0.9,620,90,,0.9,,,,,,,1,100,Olahan,Masakan Nusantara,400,"Meatball Soup Bowl · 1 mangkok · conf:high · per100: gula 0.8g, lemak jenuh 1.4g, kolesterol 20mg, Mg 12mg"
st-mie-ayam,Mie Ayam (+ pangsit rebus),,150,7.0,5.5,19.0,0.9,,15,80,0.9,580,110,,0.7,,,,,,,1,100,Olahan,Masakan Nusantara,350,"Chicken Noodle Bowl · 1 mangkok · conf:high · per100: gula 1.5g, lemak jenuh 1.4g, kolesterol 25mg, Mg 14mg"
st-sop-buntut,Sop Buntut,,130,10.0,9.0,2.5,0.3,,15,105,1.5,450,170,,3.0,,,,,,,4,100,Olahan,Masakan Nusantara,400,"Oxtail Soup · 1 mangkok · conf:high · per100: gula 0.8g, lemak jenuh 4.0g, kolesterol 45mg, Mg 14mg"
st-tongseng,Tongseng Kambing,,155,12.0,10.0,5.0,0.5,,16,140,2.0,480,220,,3.2,,,,,,,3,100,Olahan,Masakan Nusantara,300,"Goat Tongseng · 1 porsi · conf:med · per100: gula 3.5g, lemak jenuh 5.0g, kolesterol 55mg, Mg 18mg"
st-gulai-kambing,Gulai Kambing,,170,13.0,12.0,3.0,0.4,,20,140,2.2,460,210,,3.4,,,,,,,1,100,Olahan,Masakan Nusantara,300,"Goat Curry · 1 porsi · conf:high · per100: gula 1.0g, lemak jenuh 7.0g, kolesterol 58mg, Mg 18mg"
st-sop-iga,Sop Iga Sapi,,145,11.0,10.0,3.0,0.4,,15,110,1.4,440,180,,2.8,,,,,,,4,100,Olahan,Masakan Nusantara,400,"Beef Rib Soup · 1 mangkok · conf:med · per100: gula 1.0g, lemak jenuh 4.5g, kolesterol 42mg, Mg 14mg"
st-sate-ayam,Sate Ayam (tanpa bumbu kacang),,225,25.0,13.0,2.0,0.1,,14,200,1.0,420,260,,1.6,,,,,,,0,100,Olahan,Masakan Nusantara,150,"Chicken Satay · 10 tusuk · conf:high · Bumbu kacang pakai item dressing 'Bumbu Kacang' (30g). · per100: gula 2.0g, lemak jenuh 4.0g, kolesterol 80mg, Mg 24mg"
st-sate-kambing,Sate Kambing,,245,23.0,16.0,2.0,0.1,,14,190,2.5,430,280,,4.0,,,,,,,0,100,Olahan,Masakan Nusantara,150,"Goat Satay · 10 tusuk · conf:high · per100: gula 1.5g, lemak jenuh 7.0g, kolesterol 75mg, Mg 22mg"
st-sate-padang,Sate Padang (+ kuah kental),,195,16.0,10.0,11.0,0.6,,18,150,2.2,520,220,,2.6,,,,,,,1,100,Olahan,Masakan Nusantara,200,"Padang Satay w/ Sauce · 10 tusuk + kuah · conf:med · per100: gula 1.5g, lemak jenuh 4.0g, kolesterol 70mg, Mg 20mg"
st-sate-lilit,Sate Lilit Bali,,210,14.0,14.0,6.0,0.8,,25,140,1.3,480,230,,1.2,,,,,,,2,100,Olahan,Masakan Nusantara,120,"Balinese Minced Satay · 5 batang · conf:med · per100: gula 1.5g, lemak jenuh 8.0g, kolesterol 45mg, Mg 26mg"
mn-ayam-rica,Ayam Rica-Rica,,205,20.0,13.0,3.0,0.8,,16,180,1.2,520,260,,1.5,,,,,,,15,100,Olahan,Masakan Nusantara,150,"Manado Spicy Chicken · 1 porsi · conf:med · per100: gula 1.5g, lemak jenuh 3.5g, kolesterol 72mg, Mg 23mg"
mn-ikan-woku,Ikan Woku Belanga,,125,16.0,5.5,3.5,0.8,,35,190,1.0,440,300,,0.7,,,,,,,12,100,Olahan,Masakan Nusantara,200,"Fish in Woku Spice · 1 porsi · conf:med · per100: gula 1.0g, lemak jenuh 1.2g, kolesterol 45mg, Mg 30mg"
mn-cakalang-fufu,Cakalang Fufu Suwir,,180,26.0,8.0,2.0,0.3,,25,240,1.5,620,350,,0.9,,,,,,,5,100,Olahan,Masakan Nusantara,100,"Smoked Skipjack Flakes · 1 porsi · conf:med · per100: gula 0.5g, lemak jenuh 2.0g, kolesterol 55mg, Mg 35mg"
mn-tinutuan,Tinutuan (Bubur Manado),,65,2.0,1.0,13.0,1.8,,25,45,0.8,260,180,,0.4,,,,,,,8,100,Olahan,Masakan Nusantara,350,"Manado Vegetable Porridge · 1 mangkok · conf:high · per100: gula 1.5g, lemak jenuh 0.2g, kolesterol 0mg, Mg 20mg"
mn-dabu-dabu,Sambal Dabu-Dabu,,45,1.5,1.5,7.5,1.8,,15,30,0.6,380,240,,0.2,,,,,,,45,100,Olahan,Masakan Nusantara,30,"Raw Chili-Tomato Relish · 1 sendok · conf:high · per100: gula 3.5g, lemak jenuh 0.2g, kolesterol 0mg, Mg 14mg"
sf-ikan-bakar,Ikan Bakar Kecap,,165,22.0,6.0,6.0,0.2,,30,210,0.9,560,340,,0.7,,,,,,,2,100,Olahan,Masakan Nusantara,200,"Grilled Fish w/ Sweet Soy · 1 ekor sedang · conf:high · per100: gula 5.0g, lemak jenuh 1.4g, kolesterol 55mg, Mg 32mg"
sf-gurame-goreng,Gurame Goreng,,240,20.0,16.0,4.0,0.2,,35,200,0.8,380,290,,0.8,,,,,,,0,100,Olahan,Masakan Nusantara,200,"Fried Gourami · 1 ekor sedang · conf:med · per100: gula 0g, lemak jenuh 3.8g, kolesterol 60mg, Mg 28mg"
sf-gurame-asam-manis,Gurame Asam Manis,,200,14.0,9.0,16.0,0.4,,30,170,0.8,480,250,,0.7,,,,,,,8,100,Olahan,Masakan Nusantara,250,"Sweet & Sour Gourami · 1 porsi · conf:med · per100: gula 9.0g, lemak jenuh 2.0g, kolesterol 50mg, Mg 25mg"
sf-udang-saus-padang,Udang Saus Padang,,145,14.0,6.5,8.0,0.8,,60,180,0.8,640,190,,1.2,,,,,,,10,100,Olahan,Masakan Nusantara,200,"Prawns in Padang Sauce · 1 porsi · conf:med · per100: gula 4.0g, lemak jenuh 1.2g, kolesterol 130mg, Mg 30mg"
sf-cumi-saus-tiram,Cumi Saus Tiram,,130,13.0,5.0,8.0,0.5,,28,175,0.9,660,200,,1.3,,,,,,,4,100,Olahan,Masakan Nusantara,200,"Squid in Oyster Sauce · 1 porsi · conf:med · per100: gula 3.0g, lemak jenuh 1.0g, kolesterol 190mg, Mg 32mg"
sf-kerang-rebus,Kerang Dara Rebus,,90,14.0,1.5,4.0,0,,60,180,6.0,450,220,,2.0,,,,,,,2,100,Olahan,Masakan Nusantara,150,"Boiled Blood Cockles · 1 porsi · conf:high · B12 & Fe juara — 1 porsi menutup kebutuhan B12 berhari-hari. · per100: gula 0g, lemak jenuh 0.4g, kolesterol 55mg, Mg 40mg"
sf-kepiting-saus-tiram,Kepiting Saus Tiram,,120,12.0,5.0,7.0,0.4,,60,170,0.7,600,220,,3.5,,,,,,,4,100,Olahan,Masakan Nusantara,250,"Crab in Oyster Sauce · 1 porsi (daging+saus) · conf:med · per100: gula 2.5g, lemak jenuh 1.0g, kolesterol 60mg, Mg 30mg"
sf-udang-bakar-madu,Udang Bakar Madu,,155,16.0,5.5,10.0,0.2,,65,190,0.7,520,200,,1.3,,,,,,,2,100,Olahan,Masakan Nusantara,180,"Honey Grilled Prawns · 1 porsi · conf:med · per100: gula 8.0g, lemak jenuh 1.0g, kolesterol 135mg, Mg 32mg"
vg-cah-kangkung,Cah Kangkung (bawang putih/terasi),,70,2.8,4.5,5.0,2.0,,70,45,2.0,480,310,,0.4,,,,,,,15,100,Olahan,Sayur,150,"Stir-Fried Water Spinach · 1 porsi · conf:high · per100: gula 1.5g, lemak jenuh 0.9g, kolesterol 0mg, Mg 40mg"
vg-tumis-buncis,Tumis Buncis,,75,2.5,4.5,6.5,2.5,,45,40,1.0,400,210,,0.3,,,,,,,10,100,Olahan,Sayur,150,"Stir-Fried Green Beans · 1 porsi · conf:high · per100: gula 2.5g, lemak jenuh 0.9g, kolesterol 0mg, Mg 25mg"
vg-terong-balado,Terong Balado,,105,1.5,7.5,8.5,2.5,,15,28,0.5,450,230,,0.2,,,,,,,4,100,Olahan,Sayur,150,"Eggplant in Chili Sambal · 1 porsi · conf:med · per100: gula 4.0g, lemak jenuh 1.4g, kolesterol 0mg, Mg 15mg"
vg-plecing-kangkung,Plecing Kangkung,,55,2.5,1.5,8.0,2.2,,72,46,2.0,480,320,,0.4,,,,,,,30,100,Olahan,Sayur,150,"Lombok Water Spinach Salad · 1 porsi · conf:high · per100: gula 2.5g, lemak jenuh 0.3g, kolesterol 0mg, Mg 42mg"
vg-urap,Urap Sayur (kelapa),,120,4.0,8.0,9.0,3.5,,60,70,1.5,350,290,,0.6,,,,,,,15,100,Olahan,Sayur,150,"Urap w/ Spiced Coconut · 1 porsi · conf:high · per100: gula 2.5g, lemak jenuh 5.5g, kolesterol 0mg, Mg 38mg"
vg-tauge-ikan-asin,Tumis Tauge Ikan Asin,,85,5.0,5.0,5.0,1.2,,55,90,0.9,640,180,,0.5,,,,,,,8,100,Olahan,Sayur,150,"Bean Sprouts w/ Salted Fish · 1 porsi · conf:med · per100: gula 1.5g, lemak jenuh 1.0g, kolesterol 15mg, Mg 22mg"
sn-martabak-manis,Martabak Manis Keju-Coklat,,390,8.0,18.0,50.0,1.2,,120,140,1.4,340,150,,0.9,,,,,,,0,100,Olahan,Kue/Dessert,120,"Sweet Martabak · 2 potong · conf:high · per100: gula 26.0g, lemak jenuh 9.0g, kolesterol 45mg, Mg 20mg"
sn-martabak-telur,Martabak Telur,,290,11.0,18.0,20.0,1.0,,45,140,1.8,560,140,,1.1,,,,,,,1,100,Olahan,Kue/Dessert,120,"Savory Egg Martabak · 2 potong · conf:high · per100: gula 2.0g, lemak jenuh 6.0g, kolesterol 120mg, Mg 16mg"
sn-pisang-goreng,Pisang Goreng,,250,2.5,11.0,36.0,1.8,,15,45,0.7,150,300,,0.3,,,,,,,6,100,Olahan,Kue/Dessert,80,"Fried Banana · 2 pcs · conf:high · per100: gula 15.0g, lemak jenuh 4.5g, kolesterol 0mg, Mg 25mg"
sn-bakwan,Bakwan Sayur,,280,5.0,16.0,28.0,1.8,,25,60,1.0,420,130,,0.5,,,,,,,4,100,Olahan,Kue/Dessert,60,"Vegetable Fritter · 2 pcs · conf:high · per100: gula 2.0g, lemak jenuh 3.5g, kolesterol 8mg, Mg 16mg"
sn-risoles,Risoles Ragout,,245,6.0,13.0,26.0,1.0,,40,85,1.1,380,110,,0.6,,,,,,,1,100,Olahan,Kue/Dessert,70,"Risoles · 2 pcs · conf:high · per100: gula 3.0g, lemak jenuh 4.5g, kolesterol 35mg, Mg 14mg"
sn-pastel,Pastel Isi,,260,6.0,14.0,27.0,1.2,,25,75,1.1,400,110,,0.6,,,,,,,1,100,Olahan,Kue/Dessert,70,"Fried Pastry (savory) · 2 pcs · conf:med · per100: gula 2.5g, lemak jenuh 4.0g, kolesterol 30mg, Mg 14mg"
sn-klepon,Klepon,,220,2.5,6.0,39.0,1.5,,20,40,0.8,60,120,,0.4,,,,,,,0,100,Olahan,Kue/Dessert,75,"Klepon (palm sugar rice balls) · 5 pcs · conf:high · per100: gula 18.0g, lemak jenuh 5.0g, kolesterol 0mg, Mg 18mg"
sn-onde-onde,Onde-Onde,,315,5.5,13.0,44.0,2.2,,55,90,1.4,90,160,,0.7,,,,,,,0,100,Olahan,Kue/Dessert,65,"Sesame Balls (mung bean) · 2 pcs · conf:high · per100: gula 18.0g, lemak jenuh 4.0g, kolesterol 0mg, Mg 32mg"
sn-bubur-kacang-hijau,Bubur Kacang Hijau (santan),,110,4.0,2.5,18.0,1.8,,25,70,1.3,90,170,,0.5,,,,,,,1,100,Olahan,Kue/Dessert,250,"Mung Bean Porridge · 1 mangkok · conf:high · per100: gula 10.0g, lemak jenuh 1.5g, kolesterol 0mg, Mg 30mg"
sn-es-cendol,Es Cendol / Dawet,,95,0.8,3.0,17.0,0.4,,15,20,0.4,45,80,,0.1,,,,,,,0,100,Olahan,Kue/Dessert,250,"Cendol · 1 gelas · conf:high · per100: gula 14.0g, lemak jenuh 2.6g, kolesterol 0mg, Mg 10mg"
sn-es-teler,Es Teler,,105,1.2,4.5,16.0,0.8,,25,30,0.4,40,140,,0.2,,,,,,,8,100,Olahan,Kue/Dessert,300,"Es Teler · 1 mangkok · conf:med · per100: gula 13.0g, lemak jenuh 3.5g, kolesterol 3mg, Mg 14mg"
sn-es-campur,Es Campur,,95,1.0,2.5,18.0,0.6,,25,25,0.4,45,100,,0.1,,,,,,,5,100,Olahan,Kue/Dessert,300,"Mixed Shaved Ice · 1 mangkok · conf:med · per100: gula 15.0g, lemak jenuh 1.8g, kolesterol 3mg, Mg 10mg"
kd-es-teh-manis,Es Teh Manis,,30,0,0,7.5,0,,3,2,0.02,3,20,,0.01,,,,,,,0.0,100,Olahan,Minuman,250,"Sweet Iced Tea · 1 gelas 250ml · conf:high · per100: gula 7.4g, lemak jenuh 0g, kolesterol 0mg, Mg 2mg"
kd-es-jeruk,Es Jeruk Peras,,38,0.3,0.1,9.2,0.1,,6,7,0.1,2,60,,0.02,,,,,,,15,100,Olahan,Minuman,250,"Iced Orange Juice (sweetened) · 1 gelas 250ml · conf:high · per100: gula 8.8g, lemak jenuh 0g, kolesterol 0mg, Mg 4mg"
